-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-83.2216	0.646356	0.298957
-38.7716	0.900266	0.385313
-23.4326	0.912121	0.461467
-21.5098	0.952977	0.552931
-20.1141	0.952042	0.621776
-19.5696	0.943959	0.642506
-19.9677	0.934879	0.648958
-20.0934	0.932967	0.643345
-20.2115	0.94192	0.651873
-20.1895	0.965285	0.656402
-20.3462	0.981	0.654384
-20.6065	0.98348	0.659584
-20.2892	0.983597	0.662266
-19.8318	0.988313	0.658294
-20.3528	0.992937	0.664643
-21.3705	0.996121	0.67404
-23.1724	0.997588	0.662643
-26.9637	0.998032	0.645346
-32.4496	0.997164	0.608572
-38.5645	0.996776	0.60732
-40.269	0.996917	0.626542
-44.0466	0.993736	0.634635
-49.5401	0.967457	0.578418
-55.6541	0.928945	0.4035
-79.4504	0.934373	0
-100	0	0
-38.7393	0.568682	0.420355
-31.6554	0.898982	0.377856
-20.6434	0.983262	0.550904
-21.6258	0.971815	0.625175
-21.7821	0.983071	0.714615
-20.8839	0.984534	0.737139
-19.6185	0.988709	0.751504
-19.7906	0.988638	0.776728
-19.599	0.986728	0.772783
-20.9292	0.986445	0.774587
-20.1385	0.989745	0.784893
-18.3519	0.990583	0.754513
-23.118	0.989822	0.620769
-27.4819	0.966887	0.472476
-21.9646	0.993116	0.68708
-20.3652	0.994463	0.804218
-22.7818	0.996028	0.802509
-26.9396	0.995109	0.788918
-32.2083	0.995783	0.770221
-34.2374	0.99558	0.775822
-39.8865	0.993379	0.746094
-42.1409	0.992191	0.761627
-50.8709	0.96388	0.542367
-51.6265	0.941411	0.485514
-53.1326	0.947565	0.279749
-86.5955	0.538989	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-62.3722	0.930329	0.176854
-47.1957	0.987276	0.68894
-39.5824	0.984016	0.620157
-34.6791	0.871944	0.749656
-35.1214	0.963524	0.604424
-24.7223	0.970554	0.621219
-20.0578	0.967393	0.631806
-19.3153	0.957719	0.49885
-20.0142	0.938522	0.635465
-19.673	0.944284	0.63911
